"","month","Mkt-RF","SMB","HML","RMW","CMA","RF"
"515",200605,-3.57,-2.85,2.42,1.15,1.46,0.43
"516",200606,-0.35,-0.24,0.85,1.33,-0.07,0.4
"517",200607,-0.78,-3.64,2.62,1.63,0.9,0.4
"518",200608,2.03,0.44,-2.06,-1.86,2.09,0.42
"519",200609,1.84,-1.46,0.08,0.82,0.6,0.41
"520",200610,3.23,1.98,-0.3,-0.12,0.28,0.41
"521",200611,1.71,0.71,0.14,0.15,-0.81,0.42
"522",200612,0.87,-0.82,2.73,-0.72,2.06,0.4
"523",200701,1.4,0.08,-0.69,0.25,0.38,0.44
"524",200702,-1.96,1.28,-0.13,-0.51,-0.71,0.38
"525",200703,0.68,0.19,-0.96,0.64,-0.65,0.43
"526",200704,3.49,-2.03,-1.46,1.15,1.04,0.44
"527",200705,3.24,0.4,-0.65,1.58,-1.36,0.41
"528",200706,-1.96,0.75,-1.07,0.53,0.08,0.4
"529",200707,-3.73,-2.98,-3.72,0.2,-1.13,0.4
"530",200708,0.92,-0.37,-1.86,-1.21,-0.53,0.42
"531",200709,3.22,-2.43,-2.23,-0.52,-3.02,0.32
"532",200710,1.8,-0.03,-3.05,-0.3,-0.09,0.32
"533",200711,-4.83,-3.01,-0.95,1.89,-0.29,0.34
"534",200712,-0.87,0.15,-0.54,0.87,-1.04,0.27
"535",200801,-6.36,-0.66,3.98,2.14,2.14,0.21
"536",200802,-3.09,-0.66,-0.84,0.88,-0.93,0.13
"537",200803,-0.93,0.56,0.3,0.79,0.5,0.17
"538",200804,4.6,-1.14,-1.04,1.63,-2.47,0.18
"539",200805,1.86,3.06,-1.49,0.93,-0.06,0.18
"540",200806,-8.44,1.15,-2.67,4.96,-0.55,0.17
"541",200807,-0.77,3.72,5.42,-1.37,1.08,0.15
"542",200808,1.53,3.46,1.59,1.86,0.84,0.13
"543",200809,-9.24,0.25,5.92,2.41,1.78,0.15
"544",200810,-17.23,-3.34,-2.3,3.04,2.05,0.08
"545",200811,-7.86,-3.89,-6.31,4.53,2.74,0.03
"546",200812,1.74,3.29,0.15,0.06,-1.49,0
"547",200901,-8.12,-2.13,-11.29,0.18,-1.16,0
"548",200902,-10.1,-1.33,-6.95,1.19,-1.02,0.01
"549",200903,8.95,0.68,3.48,-2.52,-2.24,0.02
"550",200904,10.18,7.13,5.36,1.31,0.13,0.01
"551",200905,5.21,-2.32,0.27,-0.78,-2.16,0
"552",200906,0.43,2.29,-2.73,-1.41,-0.33,0.01
"553",200907,7.72,2.39,4.84,-0.46,3.14,0.01
"554",200908,3.33,-0.09,7.63,-3.02,3.34,0.01
"555",200909,4.08,2.73,1.04,1.31,0.35,0.01
"556",200910,-2.59,-4.93,-4.2,4.17,-1.49,0
"557",200911,5.56,-2.68,-0.34,1,0.12,0
"558",200912,2.75,6.23,-0.17,1.02,-0.09,0.01
"559",201001,-3.36,0.34,0.43,-1.27,0.46,0
"560",201002,3.4,1.51,3.23,-0.27,1.43,0
"561",201003,6.31,1.85,2.21,-0.65,1.69,0.01
"562",201004,2,4.98,2.89,0.69,1.72,0.01
"563",201005,-7.89,0.04,-2.44,1.3,-0.22,0.01
"564",201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
"565",201007,6.93,0.14,-0.33,0.27,1.98,0.01
"566",201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01
"567",201009,9.54,3.77,-3.18,-0.18,0.36,0.01
"568",201010,3.88,0.86,-2.51,1.31,-0.33,0.01
"569",201011,0.6,3.64,-0.92,0.38,1.63,0.01
"570",201012,6.82,0.99,3.76,-3.52,3.21,0.01
"571",201101,1.99,-2.38,0.75,-0.65,0.77,0.01
"572",201102,3.49,1.65,1.27,-1.93,0.87,0.01
"573",201103,0.46,2.63,-1.85,1.8,-0.05,0.01
"574",201104,2.9,-0.5,-2.49,1.11,-0.86,0
"575",201105,-1.27,-0.71,-2,1.91,-1.5,0
"576",201106,-1.75,0.13,-0.39,2.43,-1.51,0
"577",201107,-2.35,-1.2,-0.9,2.68,-1.82,0
"578",201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01
"579",201109,-7.59,-3.65,-1.72,2.04,0.26,0
"580",201110,11.35,3.46,0.1,-2.16,-0.86,0
"581",201111,-0.28,-0.27,-0.45,1.86,1.49,0
"582",201112,0.74,-0.33,1.63,0.98,2.51,0
"583",201201,5.05,2.05,-0.97,-2.01,-1.43,0
"584",201202,4.42,-1.7,0.43,-0.48,-0.01,0
"585",201203,3.11,-0.47,1.14,-0.54,0.74,0
"586",201204,-0.85,-0.55,-0.78,1.3,0.65,0
"587",201205,-6.19,-0.12,-1.06,2.08,2.32,0.01
"588",201206,3.89,0.84,0.62,-1.09,0.46,0
"589",201207,0.79,-2.8,-0.02,1.1,0.09,0
"590",201208,2.55,0.45,1.3,-1.33,-0.86,0.01
"591",201209,2.73,0.61,1.6,-1.49,1.54,0.01
"592",201210,-1.76,-0.9,3.59,-1.34,2.51,0.01
"593",201211,0.78,0.47,-0.84,0.6,0.84,0.01
"594",201212,1.18,1.91,3.51,-1.85,0.88,0.01
"595",201301,5.57,0.47,0.96,-1.93,1.42,0
"596",201302,1.29,-0.25,0.11,-0.67,0.54,0
"597",201303,4.03,0.86,-0.19,0.14,1.37,0
"598",201304,1.55,-2.25,0.45,0.27,0.37,0
"599",201305,2.8,2.09,2.63,-1.97,-0.91,0
"600",201306,-1.2,1.56,0.03,-0.38,0.01,0
"601",201307,5.65,1.8,0.57,-1.35,0.52,0
"602",201308,-2.71,-0.06,-2.69,0.66,-2.16,0
"603",201309,3.77,2.66,-1.22,-0.58,-1.4,0
"604",201310,4.18,-1.51,1.25,2.78,0.92,0
"605",201311,3.13,1.4,0.32,0.14,0.05,0
"606",201312,2.81,-0.44,-0.02,-0.46,0.08,0
"607",201401,-3.32,0.58,-2.07,-3.88,-1.43,0
"608",201402,4.65,0.16,-0.31,-0.23,-0.47,0
"609",201403,0.43,-1.13,4.93,2.13,1.98,0
"610",201404,-0.19,-4.14,1.17,3.48,1.04,0
"611",201405,2.06,-1.89,-0.13,0.05,-1.01,0
"612",201406,2.61,3.1,-0.7,-1.89,-1.98,0
"613",201407,-2.04,-4.29,0.03,0.88,0.51,0
"614",201408,4.24,0.31,-0.45,-0.63,-0.69,0
"615",201409,-1.97,-3.73,-1.34,1.31,-0.49,0
"616",201410,2.52,3.72,-1.81,-0.55,-0.09,0
"617",201411,2.55,-2.28,-3.09,1.5,0.26,0
"618",201412,-0.06,2.86,2.27,-1.22,0.96,0
"619",201501,-3.11,-0.91,-3.58,1.6,-1.66,0
"620",201502,6.13,0.31,-1.86,-1.1,-1.79,0
"621",201503,-1.12,3.07,-0.37,0.09,-0.51,0
"622",201504,0.59,-3.06,1.82,0.02,-0.65,0
"623",201505,1.36,0.82,-1.14,-1.78,-0.72,0
"624",201506,-1.53,2.89,-0.79,0.45,-1.57,0
"625",201507,1.54,-4.58,-4.13,0.31,-2.46,0
"626",201508,-6.04,0.24,2.77,0.69,1.24,0
"627",201509,-3.07,-2.8,0.56,1.8,-0.6,0
"628",201510,7.75,-2.05,-0.46,0.86,0.55,0
"629",201511,0.56,3.29,-0.42,-2.71,-1.03,0
"630",201512,-2.17,-2.97,-2.61,0.45,0.03,0.01
"631",201601,-5.77,-3.48,2.09,2.8,3.07,0.01
"632",201602,-0.07,0.85,-0.57,3.28,1.99,0.02
"633",201603,6.96,1.08,1.19,0.76,-0.04,0.02
"634",201604,0.91,1.22,3.28,-2.92,1.86,0.01
"635",201605,1.78,-0.62,-1.66,-1.07,-2.49,0.01
"636",201606,-0.05,0.44,-1.48,1.39,1.91,0.02
"637",201607,3.95,2.49,-1.27,1.25,-1.19,0.02
"638",201608,0.49,1.7,3.13,-1.88,-0.34,0.02
"639",201609,0.25,1.86,-1.23,-2.23,0.03,0.02
"640",201610,-2.02,-4.04,4.12,0.96,0.28,0.02
"641",201611,4.86,7.04,8.19,-0.21,3.69,0.01
"642",201612,1.81,0.39,3.56,1.23,-0.22,0.03
"643",201701,1.94,-1.43,-2.76,-0.5,-0.99,0.04
"644",201702,3.57,-2.21,-1.68,0.45,-1.83,0.04
"645",201703,0.17,0.74,-3.32,0.62,-0.94,0.03
"646",201704,1.09,0.47,-2.1,1.91,-1.6,0.05
"647",201705,1.06,-3.03,-3.78,0.95,-1.81,0.06
"648",201706,0.78,2.57,1.48,-2.25,0.01,0.06
"649",201707,1.87,-1.66,-0.24,-0.69,-0.12,0.07
"650",201708,0.16,-1.82,-2.09,0.15,-2.37,0.09
"651",201709,2.51,4.77,3.12,-1.46,1.68,0.09
"652",201710,2.25,-1.93,0.21,0.92,-3.24,0.09
"653",201711,3.12,-0.36,-0.08,3.19,-0.07,0.08
"654",201712,1.06,-1.07,0.05,0.74,1.66,0.09
"655",201801,5.57,-3.21,-1.33,-0.72,-1,0.12
"656",201802,-3.65,0.31,-1.07,0.54,-2.39,0.11
"657",201803,-2.35,3.58,-0.23,-0.46,0,0.11
"658",201804,0.28,0.93,0.54,-2.43,1.27,0.14
"659",201805,2.65,4.74,-3.18,-2.04,-1.47,0.14
"660",201806,0.48,0.81,-2.33,0.79,0.24,0.14
"661",201807,3.19,-1.93,0.47,1.56,0.35,0.16
"662",201808,3.44,0.63,-3.99,-0.29,-2.65,0.16
"663",201809,0.06,-2.49,-1.69,0.64,1.3,0.15
"664",201810,-7.68,-4.45,3.44,0.93,3.59,0.19
"665",201811,1.69,-0.77,0.27,-0.55,0.37,0.18
"666",201812,-9.57,-2.88,-1.86,-0.02,0.22,0.2
"667",201901,8.4,3.02,-0.45,-0.79,-1.51,0.21
"668",201902,3.4,1.74,-2.68,0.12,-1.6,0.18
"669",201903,1.1,-3.5,-4.1,0.89,-0.96,0.19
"670",201904,3.97,-1.17,2.14,1.61,-2.2,0.21
"671",201905,-6.94,-1.58,-2.34,-0.47,1.75,0.21
"672",201906,6.93,0.36,-0.72,0.91,-0.43,0.18
"673",201907,1.19,-1.78,0.47,-0.07,0.37,0.19
"674",201908,-2.58,-3.23,-4.76,0.55,-0.69,0.16
"675",201909,1.43,0.27,6.74,1.84,3.36,0.18
"676",201910,2.06,0.26,-1.92,0.44,-0.96,0.16
"677",201911,3.87,0.44,-2.01,-1.59,-1.25,0.12
"678",201912,2.77,0.97,1.76,0,1.23,0.14
"679",202001,-0.11,-4.37,-6.22,-1.18,-2.32,0.13
"680",202002,-8.13,0.03,-3.79,-1.47,-2.51,0.12
"681",202003,-13.39,-8.31,-13.97,-1.5,1.26,0.13
"682",202004,13.65,2.59,-1.23,2.7,-1.01,0
"683",202005,5.58,1.98,-4.89,0.95,-3.25,0.01
"684",202006,2.46,1.97,-2.17,0.09,0.53,0.01
"685",202007,5.77,-3.2,-1.38,0.41,0.96,0.01
"686",202008,7.63,-0.89,-2.95,4.26,-1.2,0.01
"687",202009,-3.63,0.02,-2.68,-1.4,-1.89,0.01
"688",202010,-2.1,4.64,4.21,-0.75,-0.76,0.01
"689",202011,12.47,7.12,2.14,-2.21,1.37,0.01
"690",202012,4.63,4.79,-1.51,-1.98,-0.11,0.01
"691",202101,-0.03,6.91,2.96,-3.8,4.9,0.01
"692",202102,2.78,4.53,7.18,0.3,-1.94,0
"693",202103,3.08,-0.86,7.4,6.46,3.41,0
"694",202104,4.93,-3.15,-0.94,2.48,-2.69,0
"695",202105,0.29,1.23,7.08,2.53,3.01,0
"696",202106,2.75,-0.34,-7.82,-2.18,-0.95,0
"697",202107,1.27,-4.62,-1.76,5.49,-0.48,0
"698",202108,2.91,-0.67,-0.16,-0.3,-1.76,0
"699",202109,-4.37,1.14,5.08,-1.9,2.14,0
"700",202110,6.65,-2.7,-0.48,1.68,-1.44,0
"701",202111,-1.55,-1.76,-0.44,7.22,1.74,0
"702",202112,3.1,-0.77,3.28,4.92,4.43,0.01
"703",202201,-6.25,-4.05,12.75,0.87,7.71,0
"704",202202,-2.29,2.96,3.04,-2.08,3.13,0
"705",202203,3.05,-2.15,-1.8,-1.56,3.17,0.01
"706",202204,-9.46,-0.4,6.19,3.63,5.92,0.01
"707",202205,-0.34,-0.06,8.41,1.44,3.98,0.03
"708",202206,-8.43,1.3,-5.97,1.85,-4.7,0.06
"709",202207,9.57,1.88,-4.1,0.68,-6.94,0.08
"710",202208,-3.77,1.51,0.31,-4.79,1.3,0.19
"711",202209,-9.35,-1,0.03,-1.49,-0.85,0.19
"712",202210,7.83,1.87,8.06,3.06,6.56,0.23
